@relation austra.arff-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute A1 {0,1}
@attribute A2 {'\'(-inf-38.96]\'','\'(38.96-inf)\''}
@attribute A3 {'\'(-inf-4.2075]\'','\'(4.2075-inf)\''}
@attribute A4 {1,2,3}
@attribute A5 {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute A6 {1,2,3,4,5,6,7,8,9}
@attribute A7 {'\'(-inf-1.02]\'','\'(1.02-inf)\''}
@attribute A8 {1,0}
@attribute A9 {1,0}
@attribute A10 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-inf)\''}
@attribute A11 {1,0}
@attribute A12 {1,2,3}
@attribute A13 {'\'(-inf-99.5]\'','\'(99.5-inf)\''}
@attribute A14 {'\'(-inf-493]\'','\'(493-inf)\''}
@attribute CLASS {0,1}

@data
0,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',2,1,1,'\'(-inf-1.02]\'',1,0,'\'(-inf-0.5]\'',0,2,'\'(-inf-99.5]\'','\'(-inf-493]\'',0
1,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',2,9,4,'\'(-inf-1.02]\'',0,1,'\'(0.5-2.5]\'',0,2,'\'(99.5-inf)\'','\'(-inf-493]\'',0
0,'\'(-inf-38.96]\'','\'(4.2075-inf)\'',2,11,8,'\'(-inf-1.02]\'',0,1,'\'(2.5-inf)\'',1,2,'\'(99.5-inf)\'','\'(-inf-493]\'',0
0,'\'(38.96-inf)\'','\'(-inf-4.2075]\'',2,8,4,'\'(1.02-inf)\'',0,0,'\'(-inf-0.5]\'',0,2,'\'(99.5-inf)\'','\'(-inf-493]\'',0
1,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',2,3,5,'\'(-inf-1.02]\'',0,0,'\'(-inf-0.5]\'',1,2,'\'(99.5-inf)\'','\'(493-inf)\'',0
1,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',2,2,4,'\'(-inf-1.02]\'',0,0,'\'(-inf-0.5]\'',1,2,'\'(-inf-99.5]\'','\'(-inf-493]\'',0
1,'\'(38.96-inf)\'','\'(-inf-4.2075]\'',2,1,1,'\'(-inf-1.02]\'',0,0,'\'(-inf-0.5]\'',0,2,'\'(99.5-inf)\'','\'(-inf-493]\'',0
1,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',1,9,4,'\'(1.02-inf)\'',0,0,'\'(-inf-0.5]\'',1,2,'\'(99.5-inf)\'','\'(-inf-493]\'',0
0,'\'(38.96-inf)\'','\'(-inf-4.2075]\'',2,6,4,'\'(-inf-1.02]\'',0,0,'\'(-inf-0.5]\'',1,2,'\'(99.5-inf)\'','\'(-inf-493]\'',0
1,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',2,6,4,'\'(1.02-inf)\'',1,0,'\'(-inf-0.5]\'',1,2,'\'(99.5-inf)\'','\'(-inf-493]\'',0
