@relation crx-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute A1 {b,a}
@attribute A2 {'\'(-inf-38.96]\'','\'(38.96-inf)\''}
@attribute A3 {'\'(-inf-4.2075]\'','\'(4.2075-inf)\''}
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A6 {c,d,cc,i,j,k,m,r,q,W,x,e,aa,ff}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 {'\'(-inf-1.02]\'','\'(1.02-inf)\''}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 {'\'(-inf-0.5]\'','\'(0.5-2.5]\'','\'(2.5-inf)\''}
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 {'\'(-inf-105]\'','\'(105-inf)\''}
@attribute A15 {'\'(-inf-492]\'','\'(492-inf)\''}
@attribute class {yes,no}

@data
a,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',u,g,c,v,'\'(1.02-inf)\'',f,t,'\'(0.5-2.5]\'',t,g,'\'(-inf-105]\'','\'(-inf-492]\'',no
b,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',y,p,k,v,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',f,s,'\'(105-inf)\'','\'(-inf-492]\'',no
b,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',u,g,ff,ff,'\'(-inf-1.02]\'',f,t,'\'(0.5-2.5]\'',f,g,'\'(-inf-105]\'','\'(-inf-492]\'',no
a,'\'(38.96-inf)\'','\'(-inf-4.2075]\'',u,g,i,o,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',f,g,'\'(-inf-105]\'','\'(-inf-492]\'',no
b,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',u,g,k,v,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',t,g,'\'(105-inf)\'','\'(-inf-492]\'',no
a,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',y,p,i,h,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',t,g,'\'(105-inf)\'','\'(-inf-492]\'',no
a,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',u,g,j,j,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',t,g,'\'(105-inf)\'','\'(-inf-492]\'',no
b,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',y,p,c,h,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',f,g,'\'(105-inf)\'','\'(-inf-492]\'',no
b,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',u,g,c,v,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',f,g,'\'(105-inf)\'','\'(-inf-492]\'',no
b,'\'(-inf-38.96]\'','\'(4.2075-inf)\'',u,g,c,h,'\'(1.02-inf)\'',f,f,'\'(-inf-0.5]\'',f,g,'\'(105-inf)\'','\'(-inf-492]\'',no
a,'\'(-inf-38.96]\'','\'(4.2075-inf)\'',u,g,q,h,'\'(1.02-inf)\'',f,f,'\'(-inf-0.5]\'',f,g,'\'(105-inf)\'','\'(-inf-492]\'',no
a,'\'(-inf-38.96]\'','\'(-inf-4.2075]\'',y,p,j,j,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',f,g,'\'(105-inf)\'','\'(-inf-492]\'',no
a,'\'(-inf-38.96]\'','\'(4.2075-inf)\'',y,p,q,h,'\'(-inf-1.02]\'',f,f,'\'(-inf-0.5]\'',f,g,'\'(105-inf)\'','\'(-inf-492]\'',no
