@relation 'german-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R11,13,16,18'

@attribute Status {0DM,less-200DM,over-200DM,no-account}
@attribute Duration {'\'(-inf-15.5]\'','\'(15.5-inf)\''}
@attribute Credit-history {all-paid-duly,bank-paid-duly,duly-till-now,delay,critical}
@attribute Purpose {new-car,used-car,furniture,radio-tv,domestic-app,repairs,education,vacation,retraining,business,others}
@attribute Credit {'\'(-inf-3913.5]\'','\'(3913.5-inf)\''}
@attribute Savings-account {less100DM,less500DM,less1000DM,over1000DM,unknown}
@attribute Employment {unemployed,one-year,four-years,seven-years,over-seven}
@attribute Installment-rate {'\'All\''}
@attribute Personal-status {male-divorced,female-divorced,single-male,married-male,single-female}
@attribute Debtors {none,co-applicant,guarantor}
@attribute Property {real-estate,building-society,car,none}
@attribute Installments {bank,stores,none}
@attribute Housing {rent,own,free}
@attribute Job {unemployed-non-resident,unskilled-resident,skilled,management}
@attribute Telephone {yes,no}
@attribute Foreign {yes,no}
@attribute CLASS {good,bad}

@data
no-account,'\'(15.5-inf)\'',duly-till-now,radio-tv,'\'(3913.5-inf)\'',unknown,seven-years,'\'All\'',married-male,none,building-society,none,rent,skilled,no,yes,good
no-account,'\'(15.5-inf)\'',duly-till-now,radio-tv,'\'(-inf-3913.5]\'',unknown,one-year,'\'All\'',female-divorced,none,real-estate,none,rent,skilled,no,yes,good
less-200DM,'\'(15.5-inf)\'',duly-till-now,furniture,'\'(3913.5-inf)\'',unknown,four-years,'\'All\'',female-divorced,none,building-society,none,own,unskilled-resident,no,yes,good
0DM,'\'(-inf-15.5]\'',duly-till-now,education,'\'(-inf-3913.5]\'',unknown,four-years,'\'All\'',female-divorced,none,building-society,bank,rent,skilled,no,yes,good
no-account,'\'(-inf-15.5]\'',duly-till-now,radio-tv,'\'(-inf-3913.5]\'',less100DM,seven-years,'\'All\'',single-male,none,car,none,rent,management,no,yes,good
no-account,'\'(-inf-15.5]\'',critical,radio-tv,'\'(-inf-3913.5]\'',less100DM,four-years,'\'All\'',female-divorced,none,building-society,none,own,skilled,yes,yes,good
0DM,'\'(-inf-15.5]\'',duly-till-now,new-car,'\'(3913.5-inf)\'',less100DM,unemployed,'\'All\'',single-male,none,none,none,free,skilled,yes,yes,good
no-account,'\'(15.5-inf)\'',critical,radio-tv,'\'(-inf-3913.5]\'',less100DM,unemployed,'\'All\'',female-divorced,none,car,none,own,unemployed-non-resident,yes,yes,good
no-account,'\'(-inf-15.5]\'',duly-till-now,domestic-app,'\'(-inf-3913.5]\'',less100DM,one-year,'\'All\'',female-divorced,none,real-estate,none,rent,skilled,no,yes,good
no-account,'\'(-inf-15.5]\'',critical,education,'\'(-inf-3913.5]\'',unknown,seven-years,'\'All\'',female-divorced,none,car,none,own,skilled,yes,yes,good
no-account,'\'(15.5-inf)\'',critical,new-car,'\'(-inf-3913.5]\'',less500DM,seven-years,'\'All\'',married-male,none,building-society,none,own,skilled,no,yes,good
no-account,'\'(15.5-inf)\'',critical,new-car,'\'(-inf-3913.5]\'',less100DM,four-years,'\'All\'',female-divorced,none,car,none,own,skilled,no,yes,good
no-account,'\'(-inf-15.5]\'',critical,radio-tv,'\'(-inf-3913.5]\'',less100DM,seven-years,'\'All\'',single-male,none,real-estate,none,own,unskilled-resident,yes,yes,good
less-200DM,'\'(15.5-inf)\'',duly-till-now,radio-tv,'\'(-inf-3913.5]\'',less100DM,seven-years,'\'All\'',single-male,none,car,none,rent,skilled,yes,yes,good
less-200DM,'\'(-inf-15.5]\'',duly-till-now,radio-tv,'\'(-inf-3913.5]\'',less100DM,four-years,'\'All\'',single-male,guarantor,real-estate,none,own,skilled,yes,yes,good
no-account,'\'(15.5-inf)\'',critical,others,'\'(3913.5-inf)\'',less100DM,unemployed,'\'All\'',single-male,co-applicant,none,bank,own,management,no,yes,good
no-account,'\'(-inf-15.5]\'',duly-till-now,furniture,'\'(-inf-3913.5]\'',unknown,seven-years,'\'All\'',female-divorced,none,real-estate,bank,rent,unskilled-resident,yes,yes,good
no-account,'\'(-inf-15.5]\'',critical,business,'\'(-inf-3913.5]\'',less100DM,four-years,'\'All\'',female-divorced,none,real-estate,none,own,skilled,yes,yes,good
no-account,'\'(-inf-15.5]\'',delay,used-car,'\'(-inf-3913.5]\'',less100DM,one-year,'\'All\'',female-divorced,none,building-society,none,own,unskilled-resident,yes,yes,good
no-account,'\'(15.5-inf)\'',duly-till-now,new-car,'\'(-inf-3913.5]\'',less100DM,over-seven,'\'All\'',female-divorced,co-applicant,none,none,free,skilled,no,yes,good
no-account,'\'(15.5-inf)\'',duly-till-now,radio-tv,'\'(-inf-3913.5]\'',unknown,over-seven,'\'All\'',single-male,none,car,none,own,skilled,yes,yes,good
0DM,'\'(-inf-15.5]\'',critical,furniture,'\'(-inf-3913.5]\'',less100DM,four-years,'\'All\'',male-divorced,none,building-society,none,own,skilled,yes,yes,good
no-account,'\'(-inf-15.5]\'',duly-till-now,used-car,'\'(-inf-3913.5]\'',unknown,one-year,'\'All\'',married-male,none,car,none,rent,skilled,no,yes,good
0DM,'\'(-inf-15.5]\'',duly-till-now,new-car,'\'(-inf-3913.5]\'',over1000DM,four-years,'\'All\'',single-male,none,building-society,none,own,skilled,yes,yes,good
