@relation labor-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute dur {1,2,3,4,5,6,7}
@attribute wage1.wage {'\'(-inf-2.65]\'','\'(2.65-inf)\''}
@attribute wage2.wage {'\'(-inf-3.25]\'','\'(3.25-inf)\''}
@attribute wage3.wage {'\'(-inf-3.25]\'','\'(3.25-inf)\''}
@attribute cola {none,tcf,tc}
@attribute hours.hrs {'\'All\''}
@attribute pension {none,ret_allw,empl_contr}
@attribute stby_pay {'\'(-inf-6]\'','\'(6-inf)\''}
@attribute shift_diff {'\'(-inf-3.5]\'','\'(3.5-inf)\''}
@attribute educ_allw.boolean {yes,no}
@attribute holidays {'\'(-inf-10.5]\'','\'(10.5-inf)\''}
@attribute vacation {below,average,generous}
@attribute lngtrm_disabil.boolean {yes,no}
@attribute dntl_ins {none,half,full}
@attribute bereavement.boolean {yes,no}
@attribute empl_hplan {none,half,full}
@attribute class {good,bad}

@data
3,'\'(2.65-inf)\'','\'(3.25-inf)\'','\'(3.25-inf)\'',?,'\'All\'',?,?,?,?,'\'(10.5-inf)\'',average,?,half,yes,half,good
2,'\'(2.65-inf)\'','\'(3.25-inf)\'',?,tcf,'\'All\'',?,?,?,?,?,?,yes,half,?,half,good
1,'\'(2.65-inf)\'',?,?,none,'\'All\'',empl_contr,?,'\'(3.5-inf)\'',?,'\'(10.5-inf)\'',generous,yes,full,?,?,good
3,'\'(2.65-inf)\'','\'(3.25-inf)\'','\'(3.25-inf)\'',tc,?,?,?,?,yes,?,?,?,?,yes,?,good
2,'\'(-inf-2.65]\'','\'(-inf-3.25]\'',?,?,'\'All\'',none,?,?,?,'\'(10.5-inf)\'',below,?,?,?,?,bad
1,'\'(-inf-2.65]\'',?,?,tc,'\'All\'',ret_allw,'\'(-inf-6]\'','\'(-inf-3.5]\'',no,'\'(-inf-10.5]\'',below,yes,half,?,none,bad
3,'\'(2.65-inf)\'','\'(3.25-inf)\'','\'(3.25-inf)\'',?,'\'All\'',?,?,?,?,'\'(10.5-inf)\'',average,?,half,yes,half,good
2,'\'(2.65-inf)\'','\'(3.25-inf)\'',?,tcf,?,?,?,?,yes,'\'(-inf-10.5]\'',below,yes,none,?,half,good
1,'\'(2.65-inf)\'',?,?,?,'\'All\'',?,?,'\'(-inf-3.5]\'',?,'\'(10.5-inf)\'',below,?,?,?,?,good
2,'\'(2.65-inf)\'','\'(3.25-inf)\'',?,?,?,?,?,?,?,'\'(10.5-inf)\'',?,yes,full,?,?,good
3,'\'(-inf-2.65]\'','\'(-inf-3.25]\'','\'(-inf-3.25]\'',?,'\'All\'',empl_contr,?,?,?,'\'(-inf-10.5]\'',average,?,?,yes,none,bad
