@relation waveform-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute X00 {'\'All\''}
@attribute X01 {'\'(-inf--1.385]\'','\'(-1.385-0.085]\'','\'(0.085-1.165]\'','\'(1.165-inf)\''}
@attribute X02 {'\'(-inf--0.325]\'','\'(-0.325-0.905]\'','\'(0.905-1.325]\'','\'(1.325-2.465]\'','\'(2.465-inf)\''}
@attribute X03 {'\'(-inf--0.605]\'','\'(-0.605-0.185]\'','\'(0.185-1.365]\'','\'(1.365-2.415]\'','\'(2.415-inf)\''}
@attribute X04 {'\'(-inf--0.295]\'','\'(-0.295-0.175]\'','\'(0.175-0.615]\'','\'(0.615-1.385]\'','\'(1.385-2.015]\'','\'(2.015-2.635]\'','\'(2.635-inf)\''}
@attribute X05 {'\'(-inf--0.415]\'','\'(-0.415-0.535]\'','\'(0.535-1.325]\'','\'(1.325-1.795]\'','\'(1.795-2.555]\'','\'(2.555-3.035]\'','\'(3.035-inf)\''}
@attribute X06 {'\'(-inf-1.115]\'','\'(1.115-1.765]\'','\'(1.765-2.565]\'','\'(2.565-3.395]\'','\'(3.395-4.085]\'','\'(4.085-inf)\''}
@attribute X07 {'\'(-inf-0.915]\'','\'(0.915-1.775]\'','\'(1.775-2.875]\'','\'(2.875-3.665]\'','\'(3.665-4.145]\'','\'(4.145-inf)\''}
@attribute X08 {'\'(-inf-1.725]\'','\'(1.725-2.445]\'','\'(2.445-2.985]\'','\'(2.985-3.715]\'','\'(3.715-4.845]\'','\'(4.845-inf)\''}
@attribute X09 {'\'(-inf-1.555]\'','\'(1.555-2.635]\'','\'(2.635-3.245]\'','\'(3.245-4.135]\'','\'(4.135-4.745]\'','\'(4.745-inf)\''}
@attribute X10 {'\'(-inf-2.205]\'','\'(2.205-3.225]\'','\'(3.225-4.075]\'','\'(4.075-4.795]\'','\'(4.795-inf)\''}
@attribute X11 {'\'(-inf-1.985]\'','\'(1.985-2.815]\'','\'(2.815-3.385]\'','\'(3.385-3.915]\'','\'(3.915-5.055]\'','\'(5.055-inf)\''}
@attribute X12 {'\'(-inf-1.775]\'','\'(1.775-2.485]\'','\'(2.485-3.065]\'','\'(3.065-3.645]\'','\'(3.645-4.635]\'','\'(4.635-inf)\''}
@attribute X13 {'\'(-inf-1.235]\'','\'(1.235-1.745]\'','\'(1.745-2.595]\'','\'(2.595-3.615]\'','\'(3.615-4.685]\'','\'(4.685-inf)\''}
@attribute X14 {'\'(-inf-0.985]\'','\'(0.985-1.935]\'','\'(1.935-2.705]\'','\'(2.705-3.745]\'','\'(3.745-inf)\''}
@attribute X15 {'\'(-inf-0.585]\'','\'(0.585-1.255]\'','\'(1.255-2.175]\'','\'(2.175-2.595]\'','\'(2.595-3.205]\'','\'(3.205-inf)\''}
@attribute X16 {'\'(-inf--0.405]\'','\'(-0.405-0.445]\'','\'(0.445-0.905]\'','\'(0.905-1.395]\'','\'(1.395-2.415]\'','\'(2.415-inf)\''}
@attribute X17 {'\'(-inf-0.005]\'','\'(0.005-1.095]\'','\'(1.095-1.945]\'','\'(1.945-2.975]\'','\'(2.975-inf)\''}
@attribute X18 {'\'(-inf--0.245]\'','\'(-0.245-0.885]\'','\'(0.885-1.835]\'','\'(1.835-inf)\''}
@attribute X19 {'\'(-inf--0.025]\'','\'(-0.025-1.585]\'','\'(1.585-inf)\''}
@attribute X20 {'\'All\''}
@attribute class {0,1,2}

@data

'\'All\'','\'(1.165-inf)\'','\'(-0.325-0.905]\'','\'(1.365-2.415]\'','\'(1.385-2.015]\'','\'(1.795-2.555]\'','\'(3.395-4.085]\'','\'(4.145-inf)\'','\'(4.845-inf)\'','\'(4.745-inf)\'','\'(4.075-4.795]\'','\'(3.915-5.055]\'','\'(1.775-2.485]\'','\'(2.595-3.615]\'','\'(-inf-0.985]\'','\'(1.255-2.175]\'','\'(-0.405-0.445]\'','\'(-inf-0.005]\'','\'(-0.245-0.885]\'','\'(-0.025-1.585]\'','\'All\'',1
'\'All\'','\'(-1.385-0.085]\'','\'(-0.325-0.905]\'','\'(0.185-1.365]\'','\'(0.175-0.615]\'','\'(2.555-3.035]\'','\'(2.565-3.395]\'','\'(3.665-4.145]\'','\'(4.845-inf)\'','\'(4.745-inf)\'','\'(4.795-inf)\'','\'(2.815-3.385]\'','\'(1.775-2.485]\'','\'(1.745-2.595]\'','\'(2.705-3.745]\'','\'(0.585-1.255]\'','\'(1.395-2.415]\'','\'(-inf-0.005]\'','\'(-0.245-0.885]\'','\'(-inf--0.025]\'','\'All\'',1
'\'All\'','\'(1.165-inf)\'','\'(2.465-inf)\'','\'(2.415-inf)\'','\'(2.635-inf)\'','\'(3.035-inf)\'','\'(4.085-inf)\'','\'(4.145-inf)\'','\'(3.715-4.845]\'','\'(1.555-2.635]\'','\'(-inf-2.205]\'','\'(-inf-1.985]\'','\'(-inf-1.775]\'','\'(-inf-1.235]\'','\'(0.985-1.935]\'','\'(-inf-0.585]\'','\'(0.905-1.395]\'','\'(-inf-0.005]\'','\'(0.885-1.835]\'','\'(-inf--0.025]\'','\'All\'',1
'\'All\'','\'(-1.385-0.085]\'','\'(-0.325-0.905]\'','\'(0.185-1.365]\'','\'(2.015-2.635]\'','\'(1.795-2.555]\'','\'(4.085-inf)\'','\'(4.145-inf)\'','\'(3.715-4.845]\'','\'(4.135-4.745]\'','\'(4.795-inf)\'','\'(1.985-2.815]\'','\'(-inf-1.775]\'','\'(-inf-1.235]\'','\'(-inf-0.985]\'','\'(-inf-0.585]\'','\'(0.445-0.905]\'','\'(0.005-1.095]\'','\'(-0.245-0.885]\'','\'(-0.025-1.585]\'','\'All\'',1
'\'All\'','\'(0.085-1.165]\'','\'(-inf--0.325]\'','\'(-inf--0.605]\'','\'(0.175-0.615]\'','\'(1.795-2.555]\'','\'(3.395-4.085]\'','\'(3.665-4.145]\'','\'(2.985-3.715]\'','\'(3.245-4.135]\'','\'(3.225-4.075]\'','\'(2.815-3.385]\'','\'(3.645-4.635]\'','\'(1.745-2.595]\'','\'(2.705-3.745]\'','\'(2.175-2.595]\'','\'(1.395-2.415]\'','\'(0.005-1.095]\'','\'(-inf--0.245]\'','\'(-inf--0.025]\'','\'All\'',1
'\'All\'','\'(1.165-inf)\'','\'(1.325-2.465]\'','\'(2.415-inf)\'','\'(2.015-2.635]\'','\'(3.035-inf)\'','\'(2.565-3.395]\'','\'(4.145-inf)\'','\'(1.725-2.445]\'','\'(4.745-inf)\'','\'(4.075-4.795]\'','\'(2.815-3.385]\'','\'(-inf-1.775]\'','\'(1.235-1.745]\'','\'(0.985-1.935]\'','\'(0.585-1.255]\'','\'(-0.405-0.445]\'','\'(-inf-0.005]\'','\'(-inf--0.245]\'','\'(-0.025-1.585]\'','\'All\'',1
'\'All\'','\'(-1.385-0.085]\'','\'(-inf--0.325]\'','\'(0.185-1.365]\'','\'(1.385-2.015]\'','\'(1.795-2.555]\'','\'(2.565-3.395]\'','\'(3.665-4.145]\'','\'(3.715-4.845]\'','\'(3.245-4.135]\'','\'(4.075-4.795]\'','\'(5.055-inf)\'','\'(2.485-3.065]\'','\'(1.745-2.595]\'','\'(1.935-2.705]\'','\'(1.255-2.175]\'','\'(0.445-0.905]\'','\'(-inf-0.005]\'','\'(-0.245-0.885]\'','\'(-0.025-1.585]\'','\'All\'',1
'\'All\'','\'(0.085-1.165]\'','\'(0.905-1.325]\'','\'(1.365-2.415]\'','\'(2.635-inf)\'','\'(2.555-3.035]\'','\'(3.395-4.085]\'','\'(4.145-inf)\'','\'(3.715-4.845]\'','\'(3.245-4.135]\'','\'(4.075-4.795]\'','\'(-inf-1.985]\'','\'(1.775-2.485]\'','\'(1.235-1.745]\'','\'(-inf-0.985]\'','\'(-inf-0.585]\'','\'(-0.405-0.445]\'','\'(-inf-0.005]\'','\'(-inf--0.245]\'','\'(-inf--0.025]\'','\'All\'',1
'\'All\'','\'(1.165-inf)\'','\'(1.325-2.465]\'','\'(2.415-inf)\'','\'(2.635-inf)\'','\'(3.035-inf)\'','\'(4.085-inf)\'','\'(3.665-4.145]\'','\'(4.845-inf)\'','\'(2.635-3.245]\'','\'(2.205-3.225]\'','\'(-inf-1.985]\'','\'(-inf-1.775]\'','\'(-inf-1.235]\'','\'(-inf-0.985]\'','\'(-inf-0.585]\'','\'(-0.405-0.445]\'','\'(-inf-0.005]\'','\'(-inf--0.245]\'','\'(-inf--0.025]\'','\'All\'',1
