@relation tae-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute Whether_of_not_the_TA_is_a_native_English_speaker {1,2}
@attribute Course_instructor {'\'All\''}
@attribute Course {'\'All\''}
@attribute Summer_or_regular_semester {1,2}
@attribute Class_size {'\'All\''}
@attribute Class_attribute {1,2,3}

@data
1,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
1,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',3
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',1,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',1,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',2
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
1,'\'All\'','\'All\'',1,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
2,'\'All\'','\'All\'',2,'\'All\'',1
1,'\'All\'','\'All\'',1,'\'All\'',3
2,'\'All\'','\'All\'',1,'\'All\'',3
