@relation vehicle2-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute Compactness {'\'(-inf-87.5]\'','\'(87.5-inf)\''}
@attribute Circularity {'\'(-inf-40.5]\'','\'(40.5-45.5]\'','\'(45.5-inf)\''}
@attribute Distance_circularity {'\'(-inf-58.5]\'','\'(58.5-64.5]\'','\'(64.5-76.5]\'','\'(76.5-inf)\''}
@attribute Radius_ratio {'\'All\''}
@attribute Praxis_aspect_ratio {'\'(-inf-68.5]\'','\'(68.5-inf)\''}
@attribute Max_length_aspect_ratio {'\'(-inf-7.5]\'','\'(7.5-8.5]\'','\'(8.5-16]\'','\'(16-inf)\''}
@attribute Scatter_ratio {'\'(-inf-140.5]\'','\'(140.5-147.5]\'','\'(147.5-154.5]\'','\'(154.5-204.5]\'','\'(204.5-230.5]\'','\'(230.5-inf)\''}
@attribute Elongatedness {'\'(-inf-29.5]\'','\'(29.5-32.5]\'','\'(32.5-43.5]\'','\'(43.5-46.5]\'','\'(46.5-inf)\''}
@attribute Praxis_rectangular {'\'(-inf-18.5]\'','\'(18.5-19.5]\'','\'(19.5-25.5]\'','\'(25.5-inf)\''}
@attribute Length_rectangular {'\'(-inf-140.5]\'','\'(140.5-148.5]\'','\'(148.5-inf)\''}
@attribute Major_variance {'\'(-inf-162.5]\'','\'(162.5-165.5]\'','\'(165.5-189.5]\'','\'(189.5-239]\'','\'(239-inf)\''}
@attribute Minor_variance {'\'(-inf-298.5]\'','\'(298.5-316.5]\'','\'(316.5-347.5]\'','\'(347.5-581]\'','\'(581-761.5]\'','\'(761.5-inf)\''}
@attribute Gyration_radius {'\'(-inf-150.5]\'','\'(150.5-170.5]\'','\'(170.5-192.5]\'','\'(192.5-251.5]\'','\'(251.5-inf)\''}
@attribute Major_skewness {'\'(-inf-64.5]\'','\'(64.5-76.5]\'','\'(76.5-inf)\''}
@attribute Minor_skewness {'\'(-inf-11.5]\'','\'(11.5-inf)\''}
@attribute Minor_kurtosis {'\'(-inf-19.5]\'','\'(19.5-inf)\''}
@attribute Major_kurtosis {'\'(-inf-177.5]\'','\'(177.5-181.5]\'','\'(181.5-194.5]\'','\'(194.5-inf)\''}
@attribute Hollows_ratio {'\'(-inf-189.5]\'','\'(189.5-inf)\''}
@attribute Class {positive,negative}

@data
'\'(87.5-inf)\'','\'(45.5-inf)\'','\'(76.5-inf)\'','\'All\'','\'(68.5-inf)\'','\'(8.5-16]\'','\'(154.5-204.5]\'','\'(32.5-43.5]\'','\'(19.5-25.5]\'','\'(148.5-inf)\'','\'(165.5-189.5]\'','\'(347.5-581]\'','\'(170.5-192.5]\'','\'(64.5-76.5]\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(181.5-194.5]\'','\'(189.5-inf)\'',negative
'\'(87.5-inf)\'','\'(40.5-45.5]\'','\'(76.5-inf)\'','\'All\'','\'(-inf-68.5]\'','\'(8.5-16]\'','\'(147.5-154.5]\'','\'(43.5-46.5]\'','\'(18.5-19.5]\'','\'(140.5-148.5]\'','\'(165.5-189.5]\'','\'(316.5-347.5]\'','\'(150.5-170.5]\'','\'(64.5-76.5]\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(181.5-194.5]\'','\'(189.5-inf)\'',negative
'\'(87.5-inf)\'','\'(45.5-inf)\'','\'(76.5-inf)\'','\'All\'','\'(-inf-68.5]\'','\'(8.5-16]\'','\'(204.5-230.5]\'','\'(29.5-32.5]\'','\'(19.5-25.5]\'','\'(148.5-inf)\'','\'(189.5-239]\'','\'(581-761.5]\'','\'(192.5-251.5]\'','\'(64.5-76.5]\'','\'(11.5-inf)\'','\'(-inf-19.5]\'','\'(181.5-194.5]\'','\'(189.5-inf)\'',negative
'\'(87.5-inf)\'','\'(40.5-45.5]\'','\'(76.5-inf)\'','\'All\'','\'(-inf-68.5]\'','\'(8.5-16]\'','\'(140.5-147.5]\'','\'(43.5-46.5]\'','\'(18.5-19.5]\'','\'(140.5-148.5]\'','\'(-inf-162.5]\'','\'(298.5-316.5]\'','\'(-inf-150.5]\'','\'(-inf-64.5]\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(194.5-inf)\'','\'(189.5-inf)\'',negative
'\'(-inf-87.5]\'','\'(40.5-45.5]\'','\'(64.5-76.5]\'','\'All\'','\'(68.5-inf)\'','\'(16-inf)\'','\'(147.5-154.5]\'','\'(43.5-46.5]\'','\'(18.5-19.5]\'','\'(140.5-148.5]\'','\'(239-inf)\'','\'(316.5-347.5]\'','\'(170.5-192.5]\'','\'(76.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(177.5-181.5]\'','\'(-inf-189.5]\'',positive
'\'(87.5-inf)\'','\'(45.5-inf)\'','\'(76.5-inf)\'','\'All\'','\'(-inf-68.5]\'','\'(-inf-7.5]\'','\'(230.5-inf)\'','\'(-inf-29.5]\'','\'(25.5-inf)\'','\'(148.5-inf)\'','\'(239-inf)\'','\'(761.5-inf)\'','\'(251.5-inf)\'','\'(76.5-inf)\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(177.5-181.5]\'','\'(-inf-189.5]\'',positive
'\'(87.5-inf)\'','\'(40.5-45.5]\'','\'(64.5-76.5]\'','\'All\'','\'(-inf-68.5]\'','\'(-inf-7.5]\'','\'(147.5-154.5]\'','\'(32.5-43.5]\'','\'(18.5-19.5]\'','\'(140.5-148.5]\'','\'(165.5-189.5]\'','\'(347.5-581]\'','\'(170.5-192.5]\'','\'(64.5-76.5]\'','\'(11.5-inf)\'','\'(-inf-19.5]\'','\'(194.5-inf)\'','\'(189.5-inf)\'',positive
'\'(87.5-inf)\'','\'(40.5-45.5]\'','\'(64.5-76.5]\'','\'All\'','\'(-inf-68.5]\'','\'(8.5-16]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(140.5-148.5]\'','\'(-inf-162.5]\'','\'(-inf-298.5]\'','\'(150.5-170.5]\'','\'(64.5-76.5]\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(181.5-194.5]\'','\'(189.5-inf)\'',negative
'\'(-inf-87.5]\'','\'(-inf-40.5]\'','\'(58.5-64.5]\'','\'All\'','\'(-inf-68.5]\'','\'(-inf-7.5]\'','\'(-inf-140.5]\'','\'(46.5-inf)\'','\'(-inf-18.5]\'','\'(-inf-140.5]\'','\'(-inf-162.5]\'','\'(-inf-298.5]\'','\'(-inf-150.5]\'','\'(-inf-64.5]\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(194.5-inf)\'','\'(189.5-inf)\'',negative
'\'(87.5-inf)\'','\'(40.5-45.5]\'','\'(76.5-inf)\'','\'All\'','\'(-inf-68.5]\'','\'(8.5-16]\'','\'(154.5-204.5]\'','\'(32.5-43.5]\'','\'(19.5-25.5]\'','\'(140.5-148.5]\'','\'(189.5-239]\'','\'(347.5-581]\'','\'(150.5-170.5]\'','\'(-inf-64.5]\'','\'(-inf-11.5]\'','\'(-inf-19.5]\'','\'(194.5-inf)\'','\'(189.5-inf)\'',negative
