@relation vehicle3-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute Compactness {'\'(-inf-96.5]\'','\'(96.5-107.5]\'','\'(107.5-inf)\''}
@attribute Circularity {'\'(-inf-54.5]\'','\'(54.5-inf)\''}
@attribute Distance_circularity {'\'(-inf-90.5]\'','\'(90.5-inf)\''}
@attribute Radius_ratio {'\'(-inf-175.5]\'','\'(175.5-inf)\''}
@attribute Praxis_aspect_ratio {'\'All\''}
@attribute Max_length_aspect_ratio {'\'(-inf-7.5]\'','\'(7.5-inf)\''}
@attribute Scatter_ratio {'\'(-inf-160.5]\'','\'(160.5-230.5]\'','\'(230.5-inf)\''}
@attribute Elongatedness {'\'(-inf-29.5]\'','\'(29.5-30.5]\'','\'(30.5-41.5]\'','\'(41.5-inf)\''}
@attribute Praxis_rectangular {'\'(-inf-20.5]\'','\'(20.5-25.5]\'','\'(25.5-inf)\''}
@attribute Length_rectangular {'\'(-inf-172.5]\'','\'(172.5-inf)\''}
@attribute Major_variance {'\'(-inf-180.5]\'','\'(180.5-242]\'','\'(242-inf)\''}
@attribute Minor_variance {'\'(-inf-387.5]\'','\'(387.5-721.5]\'','\'(721.5-761.5]\'','\'(761.5-inf)\''}
@attribute Gyration_radius {'\'(-inf-192.5]\'','\'(192.5-inf)\''}
@attribute Major_skewness {'\'(-inf-76.5]\'','\'(76.5-inf)\''}
@attribute Minor_skewness {'\'All\''}
@attribute Minor_kurtosis {'\'(-inf-17.5]\'','\'(17.5-inf)\''}
@attribute Major_kurtosis {'\'(-inf-184.5]\'','\'(184.5-inf)\''}
@attribute Hollows_ratio {'\'(-inf-186.5]\'','\'(186.5-inf)\''}
@attribute Class {positive,negative}

@data
'\'(-inf-96.5]\'','\'(-inf-54.5]\'','\'(-inf-90.5]\'','\'(175.5-inf)\'','\'All\'','\'(7.5-inf)\'','\'(160.5-230.5]\'','\'(41.5-inf)\'','\'(-inf-20.5]\'','\'(-inf-172.5]\'','\'(-inf-180.5]\'','\'(-inf-387.5]\'','\'(-inf-192.5]\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
'\'(-inf-96.5]\'','\'(-inf-54.5]\'','\'(-inf-90.5]\'','\'(-inf-175.5]\'','\'All\'','\'(7.5-inf)\'','\'(-inf-160.5]\'','\'(41.5-inf)\'','\'(-inf-20.5]\'','\'(-inf-172.5]\'','\'(-inf-180.5]\'','\'(-inf-387.5]\'','\'(-inf-192.5]\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
'\'(96.5-107.5]\'','\'(-inf-54.5]\'','\'(90.5-inf)\'','\'(175.5-inf)\'','\'All\'','\'(7.5-inf)\'','\'(160.5-230.5]\'','\'(30.5-41.5]\'','\'(20.5-25.5]\'','\'(-inf-172.5]\'','\'(180.5-242]\'','\'(387.5-721.5]\'','\'(192.5-inf)\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
'\'(-inf-96.5]\'','\'(-inf-54.5]\'','\'(-inf-90.5]\'','\'(-inf-175.5]\'','\'All\'','\'(7.5-inf)\'','\'(-inf-160.5]\'','\'(41.5-inf)\'','\'(-inf-20.5]\'','\'(-inf-172.5]\'','\'(-inf-180.5]\'','\'(-inf-387.5]\'','\'(-inf-192.5]\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
'\'(-inf-96.5]\'','\'(-inf-54.5]\'','\'(-inf-90.5]\'','\'(175.5-inf)\'','\'All\'','\'(7.5-inf)\'','\'(-inf-160.5]\'','\'(41.5-inf)\'','\'(-inf-20.5]\'','\'(-inf-172.5]\'','\'(180.5-242]\'','\'(-inf-387.5]\'','\'(-inf-192.5]\'','\'(76.5-inf)\'','\'All\'','\'(-inf-17.5]\'','\'(-inf-184.5]\'','\'(-inf-186.5]\'',negative
'\'(96.5-107.5]\'','\'(54.5-inf)\'','\'(90.5-inf)\'','\'(-inf-175.5]\'','\'All\'','\'(-inf-7.5]\'','\'(230.5-inf)\'','\'(-inf-29.5]\'','\'(25.5-inf)\'','\'(-inf-172.5]\'','\'(242-inf)\'','\'(761.5-inf)\'','\'(192.5-inf)\'','\'(76.5-inf)\'','\'All\'','\'(-inf-17.5]\'','\'(-inf-184.5]\'','\'(-inf-186.5]\'',negative
'\'(96.5-107.5]\'','\'(-inf-54.5]\'','\'(-inf-90.5]\'','\'(-inf-175.5]\'','\'All\'','\'(-inf-7.5]\'','\'(-inf-160.5]\'','\'(41.5-inf)\'','\'(-inf-20.5]\'','\'(-inf-172.5]\'','\'(-inf-180.5]\'','\'(-inf-387.5]\'','\'(-inf-192.5]\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
'\'(-inf-96.5]\'','\'(-inf-54.5]\'','\'(-inf-90.5]\'','\'(-inf-175.5]\'','\'All\'','\'(7.5-inf)\'','\'(-inf-160.5]\'','\'(41.5-inf)\'','\'(-inf-20.5]\'','\'(-inf-172.5]\'','\'(-inf-180.5]\'','\'(-inf-387.5]\'','\'(-inf-192.5]\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
'\'(-inf-96.5]\'','\'(-inf-54.5]\'','\'(-inf-90.5]\'','\'(-inf-175.5]\'','\'All\'','\'(-inf-7.5]\'','\'(-inf-160.5]\'','\'(41.5-inf)\'','\'(-inf-20.5]\'','\'(-inf-172.5]\'','\'(-inf-180.5]\'','\'(-inf-387.5]\'','\'(-inf-192.5]\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
'\'(-inf-96.5]\'','\'(-inf-54.5]\'','\'(90.5-inf)\'','\'(175.5-inf)\'','\'All\'','\'(7.5-inf)\'','\'(160.5-230.5]\'','\'(30.5-41.5]\'','\'(20.5-25.5]\'','\'(-inf-172.5]\'','\'(180.5-242]\'','\'(387.5-721.5]\'','\'(-inf-192.5]\'','\'(-inf-76.5]\'','\'All\'','\'(-inf-17.5]\'','\'(184.5-inf)\'','\'(186.5-inf)\'',negative
