@relation vowel0-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute TT {'\'All\''}
@attribute SpeakerNumber {'\'All\''}
@attribute Sex {'\'All\''}
@attribute F0 {'\'All\''}
@attribute F1 {'\'(-inf--0.1235]\'','\'(-0.1235-0.4245]\'','\'(0.4245-inf)\''}
@attribute F2 {'\'(-inf--2.0805]\'','\'(-2.0805-1.086]\'','\'(1.086-inf)\''}
@attribute F3 {'\'(-inf-0.738]\'','\'(0.738-1.7045]\'','\'(1.7045-inf)\''}
@attribute F4 {'\'(-inf--0.29]\'','\'(-0.29-1.3215]\'','\'(1.3215-inf)\''}
@attribute F5 {'\'(-inf-1.158]\'','\'(1.158-1.6165]\'','\'(1.6165-inf)\''}
@attribute F6 {'\'(-inf--1.12]\'','\'(-1.12--0.6495]\'','\'(-0.6495-0.0525]\'','\'(0.0525-inf)\''}
@attribute F7 {'\'(-inf--0.59]\'','\'(-0.59-inf)\''}
@attribute F8 {'\'(-inf--0.0625]\'','\'(-0.0625-inf)\''}
@attribute F9 {'\'All\''}
@attribute Class {positive,negative}

@data
'\'All\'','\'All\'','\'All\'','\'All\'','\'(-0.1235-0.4245]\'','\'(-2.0805-1.086]\'','\'(1.7045-inf)\'','\'(-0.29-1.3215]\'','\'(1.6165-inf)\'','\'(-0.6495-0.0525]\'','\'(-0.59-inf)\'','\'(-inf--0.0625]\'','\'All\'',positive
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(0.738-1.7045]\'','\'(-0.29-1.3215]\'','\'(1.6165-inf)\'','\'(-0.6495-0.0525]\'','\'(-0.59-inf)\'','\'(-inf--0.0625]\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(-inf-0.738]\'','\'(-inf--0.29]\'','\'(1.158-1.6165]\'','\'(-0.6495-0.0525]\'','\'(-0.59-inf)\'','\'(-inf--0.0625]\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(0.738-1.7045]\'','\'(-inf--0.29]\'','\'(-inf-1.158]\'','\'(-0.6495-0.0525]\'','\'(-0.59-inf)\'','\'(-inf--0.0625]\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(0.738-1.7045]\'','\'(-inf--0.29]\'','\'(-inf-1.158]\'','\'(0.0525-inf)\'','\'(-0.59-inf)\'','\'(-0.0625-inf)\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(0.738-1.7045]\'','\'(-inf--0.29]\'','\'(-inf-1.158]\'','\'(0.0525-inf)\'','\'(-0.59-inf)\'','\'(-0.0625-inf)\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(0.738-1.7045]\'','\'(-inf--0.29]\'','\'(-inf-1.158]\'','\'(0.0525-inf)\'','\'(-0.59-inf)\'','\'(-0.0625-inf)\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(1.7045-inf)\'','\'(-inf--0.29]\'','\'(-inf-1.158]\'','\'(-0.6495-0.0525]\'','\'(-0.59-inf)\'','\'(-0.0625-inf)\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(-inf-0.738]\'','\'(-inf--0.29]\'','\'(1.6165-inf)\'','\'(-0.6495-0.0525]\'','\'(-0.59-inf)\'','\'(-inf--0.0625]\'','\'All\'',negative
'\'All\'','\'All\'','\'All\'','\'All\'','\'(0.4245-inf)\'','\'(-2.0805-1.086]\'','\'(0.738-1.7045]\'','\'(-0.29-1.3215]\'','\'(1.158-1.6165]\'','\'(-0.6495-0.0525]\'','\'(-0.59-inf)\'','\'(-0.0625-inf)\'','\'All\'',negative
