@relation sonar-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute attribute_1 {'\'All\''}
@attribute attribute_2 {'\'All\''}
@attribute attribute_3 {'\'All\''}
@attribute attribute_4 {'\'(-inf-0.052]\'','\'(0.052-inf)\''}
@attribute attribute_5 {'\'(-inf-0.0392]\'','\'(0.0392-inf)\''}
@attribute attribute_6 {'\'All\''}
@attribute attribute_7 {'\'All\''}
@attribute attribute_8 {'\'All\''}
@attribute attribute_9 {'\'(-inf-0.1164]\'','\'(0.1164-inf)\''}
@attribute attribute_10 {'\'(-inf-0.16315]\'','\'(0.16315-inf)\''}
@attribute attribute_11 {'\'(-inf-0.19795]\'','\'(0.19795-inf)\''}
@attribute attribute_12 {'\'(-inf-0.22505]\'','\'(0.22505-inf)\''}
@attribute attribute_13 {'\'(-inf-0.16265]\'','\'(0.16265-inf)\''}
@attribute attribute_14 {'\'All\''}
@attribute attribute_15 {'\'All\''}
@attribute attribute_16 {'\'All\''}
@attribute attribute_17 {'\'All\''}
@attribute attribute_18 {'\'All\''}
@attribute attribute_19 {'\'All\''}
@attribute attribute_20 {'\'(-inf-0.51445]\'','\'(0.51445-inf)\''}
@attribute attribute_21 {'\'(-inf-0.6496]\'','\'(0.6496-inf)\''}
@attribute attribute_22 {'\'All\''}
@attribute attribute_23 {'\'All\''}
@attribute attribute_24 {'\'All\''}
@attribute attribute_25 {'\'All\''}
@attribute attribute_26 {'\'All\''}
@attribute attribute_27 {'\'All\''}
@attribute attribute_28 {'\'(-inf-0.9233]\'','\'(0.9233-inf)\''}
@attribute attribute_29 {'\'All\''}
@attribute attribute_30 {'\'All\''}
@attribute attribute_31 {'\'All\''}
@attribute attribute_32 {'\'All\''}
@attribute attribute_33 {'\'All\''}
@attribute attribute_34 {'\'All\''}
@attribute attribute_35 {'\'(-inf-0.19475]\'','\'(0.19475-inf)\''}
@attribute attribute_36 {'\'(-inf-0.5047]\'','\'(0.5047-inf)\''}
@attribute attribute_37 {'\'All\''}
@attribute attribute_38 {'\'All\''}
@attribute attribute_39 {'\'All\''}
@attribute attribute_40 {'\'All\''}
@attribute attribute_41 {'\'All\''}
@attribute attribute_42 {'\'All\''}
@attribute attribute_43 {'\'All\''}
@attribute attribute_44 {'\'(-inf-0.4271]\'','\'(0.4271-inf)\''}
@attribute attribute_45 {'\'(-inf-0.38545]\'','\'(0.38545-inf)\''}
@attribute attribute_46 {'\'(-inf-0.07315]\'','\'(0.07315-inf)\''}
@attribute attribute_47 {'\'(-inf-0.06235]\'','\'(0.06235-inf)\''}
@attribute attribute_48 {'\'(-inf-0.07585]\'','\'(0.07585-inf)\''}
@attribute attribute_49 {'\'(-inf-0.04525]\'','\'(0.04525-inf)\''}
@attribute attribute_50 {'\'All\''}
@attribute attribute_51 {'\'(-inf-0.01285]\'','\'(0.01285-inf)\''}
@attribute attribute_52 {'\'(-inf-0.00935]\'','\'(0.00935-inf)\''}
@attribute attribute_53 {'\'All\''}
@attribute attribute_54 {'\'(-inf-0.0225]\'','\'(0.0225-inf)\''}
@attribute attribute_55 {'\'All\''}
@attribute attribute_56 {'\'All\''}
@attribute attribute_57 {'\'All\''}
@attribute attribute_58 {'\'All\''}
@attribute attribute_59 {'\'All\''}
@attribute attribute_60 {'\'All\''}
@attribute Class {Rock,Mine}

@data
'\'All\'','\'All\'','\'All\'','\'(-inf-0.052]\'','\'(0.0392-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.1164-inf)\'','\'(0.16315-inf)\'','\'(-inf-0.19795]\'','\'(-inf-0.22505]\'','\'(0.16265-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.51445]\'','\'(-inf-0.6496]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.19475-inf)\'','\'(0.5047-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(0.07315-inf)\'','\'(0.06235-inf)\'','\'(0.07585-inf)\'','\'(-inf-0.04525]\'','\'All\'','\'(0.01285-inf)\'','\'(-inf-0.00935]\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(0.052-inf)\'','\'(0.0392-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.1164-inf)\'','\'(0.16315-inf)\'','\'(0.19795-inf)\'','\'(0.22505-inf)\'','\'(0.16265-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.51445-inf)\'','\'(-inf-0.6496]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.19475]\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(-inf-0.07315]\'','\'(-inf-0.06235]\'','\'(-inf-0.07585]\'','\'(-inf-0.04525]\'','\'All\'','\'(-inf-0.01285]\'','\'(-inf-0.00935]\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(0.052-inf)\'','\'(0.0392-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.1164-inf)\'','\'(0.16315-inf)\'','\'(0.19795-inf)\'','\'(0.22505-inf)\'','\'(0.16265-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.51445-inf)\'','\'(0.6496-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.19475-inf)\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(-inf-0.07315]\'','\'(0.06235-inf)\'','\'(-inf-0.07585]\'','\'(-inf-0.04525]\'','\'All\'','\'(-inf-0.01285]\'','\'(0.00935-inf)\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(-inf-0.052]\'','\'(-inf-0.0392]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.1164]\'','\'(-inf-0.16315]\'','\'(-inf-0.19795]\'','\'(-inf-0.22505]\'','\'(-inf-0.16265]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.51445]\'','\'(-inf-0.6496]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.19475-inf)\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(0.38545-inf)\'','\'(0.07315-inf)\'','\'(0.06235-inf)\'','\'(0.07585-inf)\'','\'(0.04525-inf)\'','\'All\'','\'(0.01285-inf)\'','\'(0.00935-inf)\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(-inf-0.052]\'','\'(0.0392-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.1164-inf)\'','\'(0.16315-inf)\'','\'(0.19795-inf)\'','\'(0.22505-inf)\'','\'(0.16265-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.51445]\'','\'(-inf-0.6496]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.9233-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.19475-inf)\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(-inf-0.07315]\'','\'(-inf-0.06235]\'','\'(-inf-0.07585]\'','\'(-inf-0.04525]\'','\'All\'','\'(0.01285-inf)\'','\'(-inf-0.00935]\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(-inf-0.052]\'','\'(-inf-0.0392]\'','\'All\'','\'All\'','\'All\'','\'(0.1164-inf)\'','\'(0.16315-inf)\'','\'(0.19795-inf)\'','\'(0.22505-inf)\'','\'(0.16265-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.51445]\'','\'(-inf-0.6496]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.19475]\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(0.07315-inf)\'','\'(-inf-0.06235]\'','\'(-inf-0.07585]\'','\'(-inf-0.04525]\'','\'All\'','\'(-inf-0.01285]\'','\'(-inf-0.00935]\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(0.052-inf)\'','\'(0.0392-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.1164-inf)\'','\'(0.16315-inf)\'','\'(-inf-0.19795]\'','\'(-inf-0.22505]\'','\'(-inf-0.16265]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.51445]\'','\'(0.6496-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.19475-inf)\'','\'(0.5047-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(-inf-0.07315]\'','\'(0.06235-inf)\'','\'(0.07585-inf)\'','\'(0.04525-inf)\'','\'All\'','\'(0.01285-inf)\'','\'(0.00935-inf)\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(-inf-0.052]\'','\'(0.0392-inf)\'','\'All\'','\'All\'','\'All\'','\'(0.1164-inf)\'','\'(0.16315-inf)\'','\'(0.19795-inf)\'','\'(0.22505-inf)\'','\'(0.16265-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.51445-inf)\'','\'(0.6496-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.19475-inf)\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(0.07315-inf)\'','\'(0.06235-inf)\'','\'(-inf-0.07585]\'','\'(-inf-0.04525]\'','\'All\'','\'(-inf-0.01285]\'','\'(-inf-0.00935]\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(-inf-0.052]\'','\'(0.0392-inf)\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.1164]\'','\'(-inf-0.16315]\'','\'(-inf-0.19795]\'','\'(-inf-0.22505]\'','\'(0.16265-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.51445-inf)\'','\'(0.6496-inf)\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(0.19475-inf)\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(0.07315-inf)\'','\'(0.06235-inf)\'','\'(0.07585-inf)\'','\'(0.04525-inf)\'','\'All\'','\'(-inf-0.01285]\'','\'(0.00935-inf)\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
'\'All\'','\'All\'','\'All\'','\'(-inf-0.052]\'','\'(-inf-0.0392]\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.1164]\'','\'(-inf-0.16315]\'','\'(-inf-0.19795]\'','\'(-inf-0.22505]\'','\'(-inf-0.16265]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.51445]\'','\'(-inf-0.6496]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.9233]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.19475]\'','\'(-inf-0.5047]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'(-inf-0.4271]\'','\'(-inf-0.38545]\'','\'(-inf-0.07315]\'','\'(0.06235-inf)\'','\'(-inf-0.07585]\'','\'(-inf-0.04525]\'','\'All\'','\'(-inf-0.01285]\'','\'(-inf-0.00935]\'','\'All\'','\'(-inf-0.0225]\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'','\'All\'',Rock
